2026/07/26 20:22:58 ✅ Connected to PostgreSQL
2026/07/26 20:22:58 🚀 Server running at :8085
2026/07/26 20:23:16 [POST] /api/v1/admin/login 200 839.9555ms from [::1]:49977
2026/07/26 20:23:17 [GET] /api/v1/admin/project 200 641.1992ms from [::1]:49977
2026/07/26 20:23:17 [GET] /api/v1/admin/project_route 200 223.7165ms from [::1]:49977
2026/07/26 20:29:57 [OPTIONS] /api/v1/admin/project 204 1.0801ms from [::1]:55124
2026/07/26 20:29:58 [GET] /api/v1/admin/project 200 344.5945ms from [::1]:55124
2026/07/26 20:29:58 [OPTIONS] /api/v1/admin/project_route 204 0s from [::1]:55124
2026/07/26 20:29:58 [GET] /api/v1/admin/project_route 200 147.5581ms from [::1]:55124
2026/07/26 20:29:58 [OPTIONS] /api/v1/admin/truck 204 0s from [::1]:55124
2026/07/26 20:29:58 [GET] /api/v1/admin/truck 200 285.9703ms from [::1]:55124
2026/07/26 20:29:58 [OPTIONS] /api/v1/admin/project_truck_assignment 204 0s from [::1]:55124
2026/07/26 20:29:59 [GET] /api/v1/admin/project_truck_assignment 200 231.64ms from [::1]:55124
2026/07/26 20:29:59 [OPTIONS] /api/v1/admin/driver 204 0s from [::1]:55124
2026/07/26 20:29:59 [GET] /api/v1/admin/driver 200 247.0615ms from [::1]:55124
2026/07/26 20:29:59 [OPTIONS] /api/v1/admin/vendor 204 0s from [::1]:55124
2026/07/26 20:29:59 [GET] /api/v1/admin/vendor 200 241.6077ms from [::1]:55124
2026/07/26 20:30:28 [OPTIONS] /api/v1/admin/project 204 2.0622ms from [::1]:55124
2026/07/26 20:30:28 [GET] /api/v1/admin/project 200 375.1836ms from [::1]:55124
2026/07/26 20:30:28 [OPTIONS] /api/v1/admin/truck 204 0s from [::1]:55124
2026/07/26 20:30:28 [GET] /api/v1/admin/truck 200 298.2403ms from [::1]:55124
2026/07/26 20:30:28 [OPTIONS] /api/v1/admin/driver 204 0s from [::1]:55124
2026/07/26 20:30:28 [GET] /api/v1/admin/driver 200 276.8616ms from [::1]:55124
2026/07/26 20:30:29 [OPTIONS] /api/v1/admin/vendor 204 0s from [::1]:55124
2026/07/26 20:30:29 [GET] /api/v1/admin/vendor 200 255.5053ms from [::1]:55124
2026/07/26 20:32:09 [OPTIONS] /api/v1/admin/project 204 1.2667ms from [::1]:55124
2026/07/26 20:32:10 [GET] /api/v1/admin/project 200 311.5721ms from [::1]:55124
2026/07/26 20:32:10 [OPTIONS] /api/v1/admin/project_route 204 0s from [::1]:55124
2026/07/26 20:32:10 [GET] /api/v1/admin/project_route 200 128.7563ms from [::1]:55124
2026/07/26 20:32:10 [OPTIONS] /api/v1/admin/truck 204 0s from [::1]:55124
2026/07/26 20:32:10 [GET] /api/v1/admin/truck 200 161.7336ms from [::1]:55124
2026/07/26 20:32:10 [OPTIONS] /api/v1/admin/project_truck_assignment 204 0s from [::1]:55124
2026/07/26 20:32:10 [GET] /api/v1/admin/project_truck_assignment 200 189.0606ms from [::1]:55124
2026/07/26 20:32:10 [OPTIONS] /api/v1/admin/driver 204 0s from [::1]:55124
2026/07/26 20:32:10 [GET] /api/v1/admin/driver 200 155.2294ms from [::1]:55124
2026/07/26 20:32:10 [OPTIONS] /api/v1/admin/vendor 204 0s from [::1]:55124
2026/07/26 20:32:11 [GET] /api/v1/admin/vendor 200 148.4586ms from [::1]:55124
2026/07/26 20:32:13 [OPTIONS] /api/v1/admin/project 204 0s from [::1]:55124
2026/07/26 20:32:14 [GET] /api/v1/admin/project 200 415.5581ms from [::1]:55124
2026/07/26 20:32:14 [OPTIONS] /api/v1/admin/project_route 204 0s from [::1]:55124
2026/07/26 20:32:14 [GET] /api/v1/admin/project_route 200 257.7447ms from [::1]:55124
2026/07/26 20:32:14 [OPTIONS] /api/v1/admin/truck 204 0s from [::1]:55124
2026/07/26 20:32:14 [GET] /api/v1/admin/truck 200 258.3085ms from [::1]:55124
2026/07/26 20:32:14 [OPTIONS] /api/v1/admin/project_truck_assignment 204 903.5µs from [::1]:55124
2026/07/26 20:32:14 [GET] /api/v1/admin/project_truck_assignment 200 225.8315ms from [::1]:55124
2026/07/26 20:32:14 [OPTIONS] /api/v1/admin/driver 204 0s from [::1]:55124
2026/07/26 20:32:15 [GET] /api/v1/admin/driver 200 208.6623ms from [::1]:55124
2026/07/26 20:32:15 [OPTIONS] /api/v1/admin/vendor 204 0s from [::1]:55124
2026/07/26 20:32:15 [GET] /api/v1/admin/vendor 200 177.4621ms from [::1]:55124
2026/07/26 20:32:17 [OPTIONS] /api/v1/admin/project 204 0s from [::1]:55124
2026/07/26 20:32:18 [GET] /api/v1/admin/project 200 260.2541ms from [::1]:55124
2026/07/26 20:32:18 [OPTIONS] /api/v1/admin/project_route 204 0s from [::1]:55124
2026/07/26 20:32:18 [GET] /api/v1/admin/project_route 200 187.7818ms from [::1]:55124
2026/07/26 20:32:18 [OPTIONS] /api/v1/admin/truck 204 0s from [::1]:55124
2026/07/26 20:32:18 [GET] /api/v1/admin/truck 200 160.1303ms from [::1]:55124
2026/07/26 20:32:18 [OPTIONS] /api/v1/admin/project_truck_assignment 204 0s from [::1]:55124
2026/07/26 20:32:18 [GET] /api/v1/admin/project_truck_assignment 200 141.4659ms from [::1]:55124
2026/07/26 20:32:18 [OPTIONS] /api/v1/admin/driver 204 0s from [::1]:55124
2026/07/26 20:32:18 [GET] /api/v1/admin/driver 200 141.7359ms from [::1]:55124
2026/07/26 20:32:18 [OPTIONS] /api/v1/admin/vendor 204 0s from [::1]:55124
2026/07/26 20:32:19 [GET] /api/v1/admin/vendor 200 125.9877ms from [::1]:55124
2026/07/26 20:32:21 [OPTIONS] /api/v1/admin/project 204 0s from [::1]:55124
2026/07/26 20:32:22 [GET] /api/v1/admin/project 200 325.7634ms from [::1]:55124
2026/07/26 20:32:22 [OPTIONS] /api/v1/admin/project_route 204 0s from [::1]:55124
2026/07/26 20:32:22 [GET] /api/v1/admin/project_route 200 202.2147ms from [::1]:55124
2026/07/26 20:32:22 [OPTIONS] /api/v1/admin/truck 204 0s from [::1]:55124
2026/07/26 20:32:22 [GET] /api/v1/admin/truck 200 203.652ms from [::1]:55124
2026/07/26 20:32:22 [OPTIONS] /api/v1/admin/project_truck_assignment 204 0s from [::1]:55124
2026/07/26 20:32:22 [GET] /api/v1/admin/project_truck_assignment 200 225.4446ms from [::1]:55124
2026/07/26 20:32:22 [OPTIONS] /api/v1/admin/driver 204 0s from [::1]:55124
2026/07/26 20:32:23 [GET] /api/v1/admin/driver 200 187.1734ms from [::1]:55124
2026/07/26 20:32:23 [OPTIONS] /api/v1/admin/vendor 204 0s from [::1]:55124
2026/07/26 20:32:23 [GET] /api/v1/admin/vendor 200 150.0711ms from [::1]:55124
2026/07/26 20:32:53 [OPTIONS] /api/v1/admin/project 204 0s from [::1]:55124
2026/07/26 20:32:53 [OPTIONS] /api/v1/admin/project_route 204 0s from [::1]:55124
2026/07/26 20:32:53 [GET] /api/v1/admin/project 200 498.1882ms from [::1]:63728
2026/07/26 20:32:54 [GET] /api/v1/admin/project_route 200 1.1946144s from [::1]:55124
