2026/07/26 19:03:17 ✅ Connected to PostgreSQL
2026/07/26 19:03:17 🚀 Server running at :8085
2026/07/26 19:03:37 [POST] /api/v1/admin/login 200 666.8529ms from [::1]:59159
2026/07/26 19:03:38 [GET] /api/v1/admin/project_transport 200 242.7398ms from [::1]:59159
2026/07/26 19:03:50 [POST] /api/v1/admin/login 200 314.3327ms from [::1]:59209
2026/07/26 19:03:50 [GET] /api/v1/admin/project_transport 200 117.4317ms from [::1]:59209
2026/07/26 19:03:50 [GET] /api/v1/admin/project_transport/7 200 170.8308ms from [::1]:59209
2026/07/26 19:03:59 [POST] /api/v1/admin/login 200 268.3026ms from [::1]:59248
2026/07/26 19:03:59 [GET] /api/v1/admin/project_transport 200 146.9079ms from [::1]:59248
2026/07/26 19:03:59 [GET] /api/v1/admin/project_transport/7 200 123.3223ms from [::1]:59248
2026/07/26 19:04:08 [POST] /api/v1/admin/login 200 248.6452ms from [::1]:59286
2026/07/26 19:04:08 [GET] /api/v1/admin/project_transport_status 200 182.0936ms from [::1]:59286
2026/07/26 19:04:09 [GET] /api/v1/admin/project_transport_photo 200 185.7658ms from [::1]:59286
2026/07/26 19:29:00 [OPTIONS] /api/v1/admin/project_transport/5 204 10.3788ms from [::1]:61282
2026/07/26 19:29:00 [GET] /api/v1/admin/project_transport/5 200 272.1034ms from [::1]:61282
2026/07/26 19:29:00 [OPTIONS] /api/v1/admin/project 204 0s from [::1]:61282
2026/07/26 19:29:00 [GET] /api/v1/admin/project 200 260.2385ms from [::1]:61282
2026/07/26 19:29:00 [OPTIONS] /api/v1/admin/project_route 204 0s from [::1]:61282
2026/07/26 19:29:01 [GET] /api/v1/admin/project_route 200 238.9247ms from [::1]:61282
2026/07/26 19:29:01 [OPTIONS] /api/v1/admin/truck 204 0s from [::1]:61282
2026/07/26 19:29:01 [GET] /api/v1/admin/truck 200 282.0152ms from [::1]:61282
2026/07/26 19:29:01 [OPTIONS] /api/v1/admin/project_truck_assignment 204 0s from [::1]:61282
2026/07/26 19:29:01 [GET] /api/v1/admin/project_truck_assignment 200 225.5371ms from [::1]:61282
2026/07/26 19:29:01 [OPTIONS] /api/v1/admin/driver 204 0s from [::1]:61282
2026/07/26 19:29:01 [GET] /api/v1/admin/driver 200 180.4361ms from [::1]:61282
2026/07/26 19:29:01 [OPTIONS] /api/v1/admin/vendor 204 0s from [::1]:61282
2026/07/26 19:29:01 [GET] /api/v1/admin/vendor 200 223.6928ms from [::1]:61282
2026/07/26 19:29:02 [OPTIONS] /api/v1/admin/project_transport 204 0s from [::1]:62690
2026/07/26 19:29:03 [GET] /api/v1/admin/project 200 152.3986ms from [::1]:61282
2026/07/26 19:29:03 [GET] /api/v1/admin/truck 200 122.1281ms from [::1]:61282
2026/07/26 19:29:03 [GET] /api/v1/admin/project_transport 200 414.2806ms from [::1]:62690
2026/07/26 19:29:04 [OPTIONS] /api/v1/admin/project_transport/3 204 0s from [::1]:62690
2026/07/26 19:29:05 [GET] /api/v1/admin/project_transport/3 200 483.2931ms from [::1]:62690
2026/07/26 19:29:05 [GET] /api/v1/admin/project 200 242.3102ms from [::1]:62690
2026/07/26 19:29:05 [OPTIONS] /api/v1/admin/project_route 204 0s from [::1]:62690
2026/07/26 19:29:05 [GET] /api/v1/admin/project_route 200 159.6861ms from [::1]:62690
2026/07/26 19:29:05 [GET] /api/v1/admin/truck 200 147.9781ms from [::1]:62690
2026/07/26 19:29:06 [OPTIONS] /api/v1/admin/project_truck_assignment 204 0s from [::1]:62690
2026/07/26 19:29:06 [GET] /api/v1/admin/project_truck_assignment 200 429.2867ms from [::1]:62690
2026/07/26 19:29:06 [GET] /api/v1/admin/driver 200 158.5987ms from [::1]:62690
2026/07/26 19:29:06 [GET] /api/v1/admin/vendor 200 175.3702ms from [::1]:62690
2026/07/26 19:29:07 [OPTIONS] /api/v1/admin/project 204 0s from [::1]:62690
2026/07/26 19:29:07 [GET] /api/v1/admin/project 200 184.2515ms from [::1]:62690
2026/07/26 19:29:07 [OPTIONS] /api/v1/admin/truck 204 0s from [::1]:62690
2026/07/26 19:29:07 [GET] /api/v1/admin/project_transport 200 266.6811ms from [::1]:61282
2026/07/26 19:29:07 [GET] /api/v1/admin/truck 200 179.0008ms from [::1]:62690
2026/07/26 19:29:12 [OPTIONS] /api/v1/admin/project_transport/3 204 0s from [::1]:62690
2026/07/26 19:29:12 [GET] /api/v1/admin/project_transport/3 200 116.4246ms from [::1]:62690
2026/07/26 19:29:12 [OPTIONS] /api/v1/admin/project 204 0s from [::1]:62690
2026/07/26 19:29:12 [GET] /api/v1/admin/project 200 79.5157ms from [::1]:62690
2026/07/26 19:29:12 [OPTIONS] /api/v1/admin/project_route 204 0s from [::1]:62690
2026/07/26 19:29:12 [GET] /api/v1/admin/project_route 200 81.0364ms from [::1]:62690
2026/07/26 19:29:12 [OPTIONS] /api/v1/admin/truck 204 0s from [::1]:62690
2026/07/26 19:29:12 [GET] /api/v1/admin/truck 200 95.5677ms from [::1]:62690
2026/07/26 19:29:12 [OPTIONS] /api/v1/admin/project_truck_assignment 204 0s from [::1]:62690
2026/07/26 19:29:13 [GET] /api/v1/admin/project_truck_assignment 200 117.562ms from [::1]:62690
2026/07/26 19:29:13 [OPTIONS] /api/v1/admin/driver 204 0s from [::1]:62690
2026/07/26 19:29:13 [GET] /api/v1/admin/driver 200 141.5375ms from [::1]:62690
2026/07/26 19:29:13 [OPTIONS] /api/v1/admin/vendor 204 0s from [::1]:62690
2026/07/26 19:29:13 [GET] /api/v1/admin/vendor 200 144.1953ms from [::1]:62690
2026/07/26 19:29:14 [OPTIONS] /api/v1/admin/project_transport 204 0s from [::1]:61282
2026/07/26 19:29:14 [GET] /api/v1/admin/project 200 119.1522ms from [::1]:62690
2026/07/26 19:29:14 [GET] /api/v1/admin/truck 200 76.0594ms from [::1]:62690
2026/07/26 19:29:14 [GET] /api/v1/admin/project_transport 200 244.5768ms from [::1]:61282
2026/07/26 19:29:16 [OPTIONS] /api/v1/admin/project 204 0s from [::1]:61282
2026/07/26 19:29:16 [GET] /api/v1/admin/project 200 199.6209ms from [::1]:61282
2026/07/26 19:29:21 [OPTIONS] /api/v1/admin/project 204 0s from [::1]:61282
2026/07/26 19:29:21 [OPTIONS] /api/v1/admin/project_truck_assignment 204 0s from [::1]:62690
2026/07/26 19:29:21 [GET] /api/v1/admin/project 200 148.2082ms from [::1]:61282
2026/07/26 19:29:21 [OPTIONS] /api/v1/admin/truck 204 0s from [::1]:61282
2026/07/26 19:29:21 [GET] /api/v1/admin/project_truck_assignment 200 176.7037ms from [::1]:62690
2026/07/26 19:29:21 [GET] /api/v1/admin/truck 200 84.1096ms from [::1]:61282
2026/07/26 19:29:26 [OPTIONS] /api/v1/admin/project 204 0s from [::1]:61282
2026/07/26 19:29:26 [OPTIONS] /api/v1/admin/project_checker_assignment 204 0s from [::1]:62690
2026/07/26 19:29:26 [GET] /api/v1/admin/project 200 95.5021ms from [::1]:62690
2026/07/26 19:29:26 [OPTIONS] /api/v1/admin/checker 204 0s from [::1]:62690
2026/07/26 19:29:26 [GET] /api/v1/admin/checker 200 67.3549ms from [::1]:62690
2026/07/26 19:29:26 [GET] /api/v1/admin/project_checker_assignment 200 247.3014ms from [::1]:61282
2026/07/26 19:29:38 [OPTIONS] /api/v1/admin/project_checker_assignment 204 0s from [::1]:61282
2026/07/26 19:29:38 [GET] /api/v1/admin/project_checker_assignment 200 229.6214ms from [::1]:61282
2026/07/26 19:29:50 [OPTIONS] /api/v1/admin/project 204 0s from [::1]:61282
2026/07/26 19:29:50 [OPTIONS] /api/v1/admin/project_transport 204 0s from [::1]:62690
2026/07/26 19:29:50 [GET] /api/v1/admin/project 200 193.3874ms from [::1]:61282
2026/07/26 19:29:51 [OPTIONS] /api/v1/admin/truck 204 534.8µs from [::1]:61282
2026/07/26 19:29:51 [GET] /api/v1/admin/project_transport 200 286.6925ms from [::1]:62690
2026/07/26 19:29:51 [GET] /api/v1/admin/truck 200 221.1864ms from [::1]:61282
2026/07/26 19:30:35 [OPTIONS] /api/v1/admin/project_transport 204 0s from [::1]:61282
2026/07/26 19:30:35 [GET] /api/v1/admin/project_transport 200 311.7669ms from [::1]:61282
exit status 1
